Date,Alteraciones de la respiración (count),Análisis del Sueño [Total] (hr),Análisis del Sueño [Asleep] (hr),Análisis del Sueño [In Bed] (hr),Análisis del Sueño [Core] (hr),Análisis del Sueño [Deep] (hr),Análisis del Sueño [REM] (hr),Análisis del Sueño [Awake] (hr),Frecuencia Cardíaca [Min] (count/min),Frecuencia Cardíaca [Max] (count/min),Frecuencia Cardíaca [Avg] (count/min),Frecuencia respiratoria (count/min),Hora de Estar de Pie de Apple (count),Minutos Conscientes (min),Promedio de Frecuencia Cardíaca al Caminar (count/min),Temperatura de Muñeca Mientras Duerme de Apple (degC),Tiempo de Ejercicio de Apple (min),Tiempo de Movimiento de Apple (min),Tiempo en Luz de Día (min),Variabilidad de Frecuencia Cardíaca (ms) 
2024-05-18 00:00:00,,6.875,0.0,6.875,4.491666666666666,0.775,1.6083333333333334,0.13333333333333333,43,145,43,13.85,10,,113,,31,,175,100.03,
2024-05-19 00:00:00,,8.975,0.0,8.975,6.083333333333333,1.15,1.741666666666667,0.16666666666666666,38,165,38,13.35,10,,121,,66,,58,107.39,
2024-05-20 00:00:00,,5.991666666666666,0.0,5.991666666666667,4.1,0.6916666666666667,1.2000000000000002,0.13333333333333333,48,160,48,14.22,15,,,,37,,32,69.09,
2024-05-21 00:00:00,,0.0,0.0,5.617121094299688,0.0,0.0,0.0,0.0,47,160,47,14.89,7,,,,10,,8,81.38,
2024-05-22 00:00:00,,6.466666666666667,0.0,6.466666666666666,3.95,1.0,1.5166666666666666,0.27499999999999997,41,134,41,15.11,13,,92.5,,16,,32,75.97,
2024-05-23 00:00:00,,3.1750000000000003,0.0,3.175,2.0833333333333335,0.9416666666666667,0.15,0.14166666666666666,53,204,53,15.11,13,,,,52,,72,60.99,
2024-05-24 00:00:00,,8.083333333333334,0.0,8.083333333333334,5.6416666666666675,0.9583333333333334,1.4833333333333334,0.39166666666666666,45,138,45,13.99,13,,97,,16,,33,81.09,
2024-05-25 00:00:00,,8.875000000000002,0.0,8.875,6.366666666666668,0.7083333333333333,1.8,0.48333333333333334,44,110,44,14,13,,,,12,,109,76.55,
2024-05-26 00:00:00,,0.0,0.0,7.2575333444608585,0.0,0.0,0.0,0.0,59.8,99,59.8,15.21,4,,87.5,,4,,,72.04,
2024-05-27 00:00:00,,8.241666666666667,0.0,8.241666666666667,5.166666666666667,0.9083333333333333,2.1666666666666665,0.55,44,148,44,14.48,12,,103,,15,,33,69.77,
2024-05-28 00:00:00,,8.341666666666667,0.0,8.341666666666665,5.266666666666667,1.1500000000000001,1.925,0.19166666666666665,53,144,53,15.42,11,,,,29,,42,77.96,
2024-05-29 00:00:00,,0.0,0.0,4.420555555555556,0.0,0.0,0.0,0.0,48,154,48,,10,,106,,15,,129,87.18,
2024-05-30 00:00:00,,8.466666666666667,0.0,8.466666666666667,5.616666666666667,0.7666666666666666,2.0833333333333335,0.3,49,173,49,14.7,12,,,,17,,36,84.11,
2024-05-31 00:00:00,,8.183333333333334,0.0,8.183333333333334,4.866666666666667,1.3916666666666666,1.925,0.15,54,164,54,14.73,11,,127.5,,13,,10,80.78,
2024-06-01 00:00:00,,8.208333333333332,0.0,8.208333333333332,5.758333333333332,0.9583333333333334,1.4916666666666667,0.4583333333333333,52,148,52,16.12,15,,112,,21,,84,69.43,
2024-06-02 00:00:00,,9.55,0.0,9.549999999999999,6.058333333333333,1.1500000000000001,2.341666666666667,0.30833333333333335,48,94,48,15.1,6,,,,6,,227,83.01,
2024-06-03 00:00:00,,8.633333333333335,0.0,8.633333333333333,6.025000000000001,0.825,1.7833333333333337,0.11666666666666665,47,156,47,14.28,12,,97.5,,13,,84,124.7,
2024-06-04 00:00:00,,5.925000000000001,0.0,5.924999999999999,3.5166666666666666,0.8833333333333333,1.525,0.13333333333333336,49.78,163,49.78,15.04,13,,118,,32,,56,81.1,
2024-06-05 00:00:00,,7.1499999999999995,0.0,7.15,4.925,0.8166666666666668,1.4083333333333334,0.7583333333333335,53,165,53,15.08,15,,102,,42,,200,51.68,
2024-06-06 00:00:00,,4.125,0.0,4.125,3.058333333333333,0.8166666666666667,0.25,0.07500000000000001,55,180,55,16.41,18,,,,40,,178,55.45,
2024-06-07 00:00:00,,0.0,0.0,9.612434226108924,0.0,0.0,0.0,0.0,47,140,47,15.06,2,,125,,4,,,62.58,
2024-06-08 00:00:00,,4.716666666666667,0.0,4.716666666666667,3.7583333333333337,0.23333333333333334,0.7250000000000001,0.15833333333333333,50.91,171,50.91,15.94,16,,119.5,,18,,7,92.55,
2024-06-09 00:00:00,,5.483333333333333,0.0,5.483333333333333,3.3166666666666664,0.9083333333333333,1.2583333333333335,0.18333333333333335,51,101,51,16.92,14,,,,27,,,79.43,
2024-06-10 00:00:00,,8.266666666666666,0.0,8.266666666666666,5.483333333333333,0.6166666666666667,2.1666666666666665,0.9583333333333334,42,158,42,14,12,,109.5,,41,,311,94.16,
2024-06-11 00:00:00,,0.0,0.0,9.50051398055421,0.0,0.0,0.0,0.0,52,156,52,,11,,116,,66,,97,83.06,
2024-06-12 00:00:00,,0.0,0.0,7.967718096673488,0.0,0.0,0.0,0.0,53,177,53,18,19,,,,40,,66,60.24,
2024-06-13 00:00:00,,0.0,0.0,8.640766691101922,0.0,0.0,0.0,0.0,51,137,51,,13,,103,,26,,268,81.46,
2024-06-14 00:00:00,,7.533333333333333,0.0,7.533333333333333,4.858333333333333,1.0833333333333335,1.5916666666666668,0.075,45,153,45,14.94,13,,91,,11,,11,91.82,
2024-06-15 00:00:00,,5.058333333333334,0.0,5.058333333333334,2.833333333333334,0.9666666666666668,1.2583333333333333,0.09999999999999999,49,164,49,15.91,13,,101.5,,73,,111,69.12,
2024-06-16 00:00:00,,8.333333333333332,0.0,8.333333333333334,5.308333333333334,0.8833333333333333,2.1416666666666666,0.3,47,149,47,14.15,13,,91,,69,,257.25,87.98,
2024-06-17 00:00:00,,8.100000000000001,0.0,8.100000000000001,4.983333333333335,1.0,2.1166666666666667,0.7333333333333333,47,168,47,13.54,14,,135,,43,,218.75,106.3,
2024-06-18 00:00:00,,9.216666666666667,0.0,9.216666666666667,5.641666666666667,1.125,2.45,0.22499999999999998,41,163,41,14.31,6,,94.5,,17,,51,76.39,
2024-06-19 00:00:00,,9.166666666666668,0.0,9.166666666666666,6.1000000000000005,0.6416666666666667,2.425,0.17500000000000002,45,145,45,13.52,9,,101,,34,,113,81.3,
2024-06-20 00:00:00,,7.083333333333334,0.0,7.083333333333334,4.816666666666667,0.9,1.3666666666666665,0.2,47,154,47,12.99,17,,,,119,,102,67.66,
2024-06-21 00:00:00,,0.0,0.0,8.313038416935338,0.0,0.0,0.0,0.0,53,131,53,,9,,131,,6,,4,74.21,
2024-06-22 00:00:00,,9.408333333333331,0.0,9.408333333333333,6.016666666666666,1.0666666666666667,2.325,0.05,48,175,48,14.09,13,,132,,99,,118,77.43,
2024-06-23 00:00:00,,8.283333333333333,0.0,8.283333333333333,4.883333333333334,1.25,2.15,0.325,41,166,41,14.6,13,,113,,129,,186,67.05,
2024-06-24 00:00:00,,5.808333333333334,0.0,5.808333333333333,3.416666666666666,1.2750000000000001,1.1166666666666667,0.175,48,139,48,14.64,13,,137,,18,,14,64.61,
2024-06-25 00:00:00,,7.683333333333333,0.0,7.683333333333334,4.925,1.008333333333333,1.75,0.18333333333333332,46,175,46,14.33,14,,115,,190,,226,92.86,
2024-06-26 00:00:00,,7.2,0.0,7.2,4.233333333333333,1.2166666666666666,1.7500000000000002,0.075,48,148,48,14.86,11,,138,,56,,101,86.7,
2024-06-27 00:00:00,,7.7666666666666675,0.0,7.766666666666667,4.650000000000001,1.4,1.7166666666666666,0.016666666666666666,48,206,48,13.94,14,,109,,214,,263,58.74,
2024-06-28 00:00:00,,7.116666666666666,0.0,7.116666666666667,4.05,0.9833333333333333,2.083333333333333,0.2,43,136,43,14.96,14,,136,,1,,,68.7,
2024-06-29 00:00:00,,9.375000000000002,0.0,9.375,5.916666666666668,1.05,2.4083333333333337,0.0,49,207,49,15.01,11,,111.5,,91,,80,80.3,
2024-06-30 00:00:00,,7.208333333333333,0.0,7.208333333333334,4.625,1.2333333333333334,1.3499999999999999,0.19166666666666665,51,157,51,14.6,16,,81,,40,,31,76.37,
2024-07-01 00:00:00,,,,,,,,,47,145,47,15.41,13,,100,,24,,33,72.04,
2024-07-02 00:00:00,,8.733333333333334,0.0,8.733333333333336,5.591666666666667,1.0499999999999998,2.091666666666667,0.425,44,137,44,14.55,14,,97,,97,,89,84.1,
