fecha,Temperature,Growing Degree Days,Precipitation Total,Wind Gust,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Mean Sea Level Pressure
2024-07-09,24.45024522916667,0.58236876375,0.0,15.059999458333332,29.375,9.166666666666666,0.0416666666666666,35.14545845833333,317.2916666666667,1014.9375
2024-07-10,22.70774533333333,0.5294893879166667,0.5291666666666667,17.894999625,51.833333333333336,49.16666666666666,8.208333333333334,20.55463697083333,220.375,1017.5083333333332
2024-07-11,23.230245375,0.5512602158333334,0.3166666666666666,13.814999779166667,27.20833333333333,28.625,31.95833333333333,22.7651895625,239.41666666666663,1016.95
2024-07-12,20.65774516666667,0.4440727170833333,0.0416666666666666,24.674999125,74.45833333333333,24.791666666666668,19.20833333333333,24.677034125,182.41666666666663,1012.4083333333332
2024-07-13,18.6931620625,0.3622150779166666,0.0125,15.2849999375,21.25,32.791666666666664,20.0,23.442620833333333,218.125,1014.4625
2024-07-14,19.365245416666667,0.3902185574999999,0.0,10.9949995,41.91666666666666,31.791666666666668,2.75,23.203269841666668,292.0,1014.2916666666666
2024-07-15,21.922745354166665,0.4967810466666666,0.2041666666666667,15.929999854166669,63.875,21.83333333333333,6.875,28.3540131375,281.7916666666667,1012.1375
2024-07-16,20.58857875,0.4411907799999999,0.0,24.914999041666665,25.541666666666668,19.166666666666668,16.416666666666668,29.90087158333333,249.29166666666663,1016.625
2024-07-17,20.46524520833333,0.4360518791666667,0.0,14.054999833333332,13.958333333333334,30.25,22.45833333333333,22.490993166666662,246.58333333333331,1020.7458333333334
2024-07-18,21.857745416666663,0.4940727270833333,0.0,15.389999645833331,19.70833333333333,0.2083333333333333,0.7916666666666666,35.75044895833333,312.8333333333333,1020.1708333333332
2024-07-19,23.994828708333333,0.5776643300000001,0.0333333333333333,11.189999708333334,7.125,3.375,0.5416666666666666,37.17897025,299.9166666666667,1017.475
2024-07-20,24.63191175,0.6015527883333334,0.0,11.669999791666667,14.958333333333334,12.083333333333334,0.25,33.48904258333334,291.6666666666667,1010.5958333333332
2024-07-21,22.561495500000003,0.5233956416666666,0.1125,15.884999520833333,64.33333333333333,47.16666666666666,4.041666666666667,18.14949489583333,187.54166666666663,1010.55
2024-07-22,21.55607858333333,0.4815032775,0.0416666666666666,16.754999354166667,9.0,24.125,25.95833333333333,23.8006106125,186.33333333333331,1018.3958333333334
2024-07-23,20.76357870833333,0.4484824433333333,0.0208333333333333,20.204999333333333,6.916666666666667,31.83333333333333,41.79166666666666,13.3238984375,197.70833333333331,1020.5666666666666
2024-07-24,20.04024529166667,0.4183435566666666,0.0,14.864999666666668,43.04166666666666,20.291666666666668,60.66666666666666,12.426922275,218.54166666666663,1020.0291666666668
2024-07-25,20.4902453125,0.43709355125,0.0,12.599999833333332,57.375,3.5416666666666665,12.25,27.90753858333333,296.375,1014.8708333333334
2024-07-26,22.228995291666667,0.5095414704166666,0.0,11.624999454166668,30.541666666666668,14.875,2.4166666666666665,33.754026054166665,279.1666666666667,1012.8083333333334
2024-07-27,22.800245375,0.5333435570833334,0.1125,16.04999954166667,66.25,52.29166666666666,7.833333333333333,18.36976695,239.95833333333331,1014.6791666666668
2024-07-28,20.504828791666665,0.4377011895833333,0.0958333333333333,20.8649995,1.7916666666666667,28.58333333333333,32.041666666666664,22.1061866875,226.0,1023.3
2024-07-29,22.13732870833333,0.5057220266666667,0.0,15.014999416666669,0.125,0.0,0.75,37.665789708333335,310.2083333333333,1020.975
2024-07-30,24.96024570833333,0.5918301391666667,0.0,12.3599995625,23.375,10.5,0.0,32.46181958333333,297.0416666666667,1016.4291666666668
2024-07-31,24.721911875,0.6089842025,0.0083333333333333,11.4299995,50.29166666666666,8.666666666666666,6.791666666666667,30.16437495833333,253.08333333333331,1014.05
2024-08-01,22.6923285,0.5288470175000001,0.3041666666666666,20.159999375,73.95833333333333,34.5,27.875,22.920313929166667,183.95833333333331,1012.85
2024-08-02,22.473161708333333,0.51971506875,0.1708333333333333,15.464999625,27.25,19.916666666666668,5.708333333333333,31.3293767,251.91666666666663,1012.7166666666668
2024-08-03,21.9010785,0.4958782729166666,0.0,16.664999541666667,20.25,25.375,9.791666666666666,27.75391385,249.70833333333331,1013.9041666666668
2024-08-04,21.122745166666665,0.4634477108333333,0.0041666666666666,15.2999994375,73.54166666666667,38.29166666666666,37.208333333333336,14.271570004166668,193.66666666666663,1016.2666666666668
2024-08-05,21.831495166666667,0.4929789570833333,0.0,12.314999704166668,34.25,1.1666666666666667,10.583333333333334,31.89974725,278.375,1015.0458333333332
2024-08-06,23.34899525,0.5553561637500001,0.0,10.919999925,7.833333333333333,1.6666666666666667,0.5833333333333334,36.04770645833333,291.6666666666667,1012.275
2024-08-07,21.903578791666664,0.4959824454166666,0.1208333333333333,13.2299996875,43.708333333333336,25.95833333333333,5.0,22.9656145,171.91666666666666,1013.775
2024-08-08,21.86524525,0.4943852208333333,0.0041666666666666,12.689999583333334,29.791666666666668,20.375,19.541666666666668,26.506859791666667,239.33333333333331,1017.4
2024-08-09,22.0739949375,0.5030831325,0.0,15.224999529166666,27.0,3.75,3.7083333333333335,31.23812095833333,272.625,1019.0875
2024-08-10,23.873995375000003,0.5764672733333334,0.0,12.134999925,3.0,0.4166666666666667,4.291666666666667,34.92951725,276.3333333333333,1021.15
2024-08-11,24.98649525,0.6054243195833333,0.0,15.524999645833333,40.083333333333336,0.9583333333333334,0.0,31.2049495,282.0416666666667,1018.3875
2024-08-12,27.0560795,0.66840915375,0.0291666666666666,13.214999854166663,71.04166666666667,14.458333333333334,0.0,28.69979945833333,254.79166666666663,1013.2916666666666
2024-08-13,25.870245666666666,0.63459056375,0.0,12.314999583333332,29.041666666666668,4.166666666666667,0.0,34.146138625,276.0,1010.5666666666666
2024-08-14,23.705245416666667,0.5710518858333333,0.0416666666666666,18.20999945833333,59.458333333333336,17.625,13.125,25.84666383333333,232.41666666666663,1013.4458333333332
2024-08-15,23.33316195833333,0.55554841375,0.0,15.404999708333332,8.916666666666666,10.958333333333334,7.083333333333333,32.218041375,254.66666666666663,1017.6833333333334
2024-08-16,24.260661958333333,0.59403756875,0.0208333333333333,13.76999955,2.375,33.708333333333336,16.0,24.684245541666662,214.45833333333331,1017.1791666666668
2024-08-17,23.28274533333333,0.55344772125,0.0083333333333333,11.264999791666668,69.41666666666667,38.125,15.125,21.952946208333334,184.5,1013.9583333333334
2024-08-18,19.339412041666662,0.3891421654166667,0.6458333333333334,15.929999441666666,99.41666666666669,88.54166666666667,48.54166666666666,0.9710299083333332,55.54166666666666,1012.625
2024-08-19,19.698162041666667,0.4040900879166667,0.0041666666666666,18.4199994375,33.458333333333336,31.791666666666668,55.29166666666666,11.631993229166667,190.54166666666663,1016.9833333333332
2024-08-20,20.820661916666666,0.4508609091666666,0.0,13.07999975,1.0833333333333333,4.583333333333333,61.29166666666666,6.815600408333332,163.95833333333334,1013.8875
2024-08-21,19.02441195833333,0.3760171625,0.0083333333333333,20.249999541666664,43.333333333333336,11.458333333333334,21.0,22.844141858333334,225.70833333333331,1018.875
2024-08-22,18.484412,0.3535171685,0.0,11.999999625,24.625,0.0,0.125,34.527613458333335,274.0416666666667,1015.325
2024-08-23,20.889828375,0.4537428507916667,0.0,20.9849995625,38.083333333333336,0.0,0.0,31.688080625,267.875,1014.2416666666668
2024-08-24,25.028579229166667,0.5842259816666667,0.0291666666666666,24.884999583333336,17.541666666666668,10.791666666666666,2.2916666666666665,32.354829083333335,261.0833333333333,1012.425
2024-08-25,18.443995416666667,0.3518331404166666,0.3458333333333334,19.259999604166666,31.541666666666668,43.5,38.333333333333336,17.0882085,161.875,1022.0833333333334
2024-08-26,17.615245333333334,0.31730188625,0.0,17.519999208333335,0.4166666666666667,27.625,44.91666666666666,16.810150687500002,147.29166666666666,1022.1083333333332
2024-08-27,19.10732839583333,0.3794720260416666,0.0,17.1449995625,0.0,0.1666666666666666,10.375,28.11384625,245.91666666666663,1019.2083333333334
2024-08-28,23.156912166666668,0.5353896079166667,0.0,12.944999479166666,0.125,12.208333333333334,0.2083333333333333,28.550687166666663,239.54166666666663,1017.1
2024-08-29,24.54732875,0.5846079195833334,0.0,12.644999691666667,19.20833333333333,14.625,0.0,28.704734125,220.75,1017.4958333333334
2024-08-30,24.368995541666667,0.5882546116666667,0.0,12.389999625,77.625,6.916666666666667,0.0,26.49435995833333,231.91666666666663,1017.0791666666668
2024-08-31,24.35191225,0.5920566991666667,0.0,13.454999875,67.33333333333333,4.375,0.0833333333333333,26.336784375,216.20833333333331,1017.2708333333334
2024-09-01,23.869828666666667,0.5758253354166667,0.0958333333333333,11.984999541666667,69.58333333333333,3.875,8.958333333333334,27.553995791666665,187.33333333333331,1014.8625
2024-09-02,22.301078625,0.5125449370833334,0.0208333333333333,13.454999633333331,28.875,33.041666666666664,21.20833333333333,18.201066304166662,155.625,1014.0291666666668
2024-09-03,22.866912125,0.5361213333333333,0.0,11.6249996875,35.833333333333336,21.75,3.583333333333333,25.277132904166667,196.45833333333331,1014.9458333333332
2024-09-04,21.648995041666662,0.48537479125,0.0416666666666666,13.274999591666663,89.83333333333333,52.875,12.791666666666666,16.01948679166667,121.79166666666669,1014.2708333333334
2024-09-05,19.348162041666665,0.3895067512499999,0.3541666666666667,20.1899995625,96.91666666666669,52.75,54.083333333333336,7.412352558333333,98.5,1008.1375
2024-09-06,18.922328583333336,0.3717636858333333,0.0333333333333333,12.7499995625,62.29166666666666,10.625,41.333333333333336,14.328862595833334,182.20833333333331,1011.8625
2024-09-07,21.334828583333334,0.47228452625,0.0,13.994999645833332,41.29166666666666,11.75,2.25,28.05965177083333,211.54166666666663,1010.9625
2024-09-08,18.4594119375,0.35247549625,0.0583333333333333,16.829999458333333,64.91666666666667,73.70833333333333,22.83333333333333,6.744388258333333,97.95833333333331,1011.3458333333332
2024-09-09,16.824828583333332,0.2843678545833333,0.1583333333333333,31.664998854166665,23.166666666666668,63.458333333333336,71.20833333333333,9.478289827916669,86.70833333333333,1010.475
2024-09-10,15.766911958333331,0.24028800125,0.0999999999999999,26.35499954166667,31.83333333333333,42.083333333333336,56.375,13.854012292791666,157.16666666666666,1015.7416666666668
2024-09-11,12.86774525,0.1228904575416666,0.5083333333333334,28.439999437500003,63.41666666666666,73.29166666666667,72.54166666666667,0.87358305,23.791666666666668,1012.1625
2024-09-12,10.340245220833332,0.0500394044041666,0.0999999999999999,16.709999666666665,28.875,38.583333333333336,40.833333333333336,15.5872971,164.91666666666666,1015.3833333333332
2024-09-13,10.156078579166666,0.0435641365904166,0.1333333333333333,23.039999541666663,31.166666666666668,27.83333333333333,33.208333333333336,17.239366208333333,169.04166666666666,1022.6291666666666
2024-09-14,11.078161825,0.0673319200291666,0.0083333333333333,22.484999375,10.625,33.625,43.25,15.50303025,127.58333333333331,1028.8791666666668
2024-09-15,10.661078525,0.0954217741958333,0.0,20.984999645833334,6.041666666666667,2.4166666666666665,18.95833333333333,27.61711508333333,213.41666666666663,1026.2583333333334
2024-09-16,11.659412095833332,0.09169084325,0.0833333333333333,14.519999541666666,59.41666666666666,46.125,77.375,4.6590910333333335,89.875,1023.6916666666666
2024-09-17,14.417328562500002,0.1840553551666666,0.0625,28.829999291666667,4.208333333333333,36.833333333333336,64.375,8.193995254166667,58.66666666666666,1021.0625
2024-09-18,16.034411875,0.2514338245,0.0,25.364999375,0.0,5.291666666666667,12.166666666666666,24.49976175,164.875,1019.0625
2024-09-19,15.782328708333331,0.240947297625,0.0,17.849999333333333,1.0416666666666667,8.333333333333334,7.041666666666667,25.959533,151.91666666666666,1017.525
2024-09-20,15.8506619375,0.2437775771400833,0.0,12.4949996875,5.208333333333333,8.25,7.25,26.165240041666667,183.66666666666663,1018.9958333333334
2024-09-21,16.38274547916667,0.265947726625,0.0,11.834999583333332,16.416666666666668,6.5,17.083333333333332,23.241115500000003,179.45833333333334,1019.0
